,label,site,site.code,sub.site,sub.site.code,transect,trans,site.label,date,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,rug,lat,lon,d.range.code,depth.range,depth,t.length,t.width,t.area,family ,order,sp.code,sp.rich,sp.length,species,sp.n,data.origin
3170,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,6,,Chromis.chromis,210,Sala - PEW
3171,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,6,,Coris.julis,5,Sala - PEW
3173,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,DIPV,6,,Diplodus.vulgaris,12,Sala - PEW
3177,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,6,,Thalassoma.pavo,11,Sala - PEW
3172,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Sparidae,Perciformes,SARGUS,6,,Diplodus.sargus,1,Sala - PEW
3174,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,6,,Serranus.scriba,1,Sala - PEW
3175,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGL,6,,Siganus.luridus,23,Sala - PEW
3176,ADR6AF,ADRASAN,ADR,6,6ADR,A,1008,ADR6AF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,6,,Sparisoma.cretense,10,Sala - PEW
3178,ADR6BF,ADRASAN,ADR,6,6ADR,B,1009,ADR6BF,,Summer,NO,,,,,,1.38,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,5,,Chromis.chromis,100,Sala - PEW
3179,ADR6BF,ADRASAN,ADR,6,6ADR,B,1009,ADR6BF,,Summer,NO,,,,,,1.38,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CJ,5,,Coris.julis,1,Sala - PEW
3183,ADR6BF,ADRASAN,ADR,6,6ADR,B,1009,ADR6BF,,Summer,NO,,,,,,1.38,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,PAVO,5,,Thalassoma.pavo,15,Sala - PEW
3180,ADR6BF,ADRASAN,ADR,6,6ADR,B,1009,ADR6BF,,Summer,NO,,,,,,1.38,36.337,30.529,3,08-‹š”,10,25,5,125,Serranidae,Perciformes,SCRIBA,5,,Serranus.scriba,3,Sala - PEW
3181,ADR6BF,ADRASAN,ADR,6,6ADR,B,1009,ADR6BF,,Summer,NO,,,,,,1.38,36.337,30.529,3,08-‹š”,10,25,5,125,Siganidae,Perciformes,SIGL,5,,Siganus.luridus,5,Sala - PEW
3182,ADR6BF,ADRASAN,ADR,6,6ADR,B,1009,ADR6BF,,Summer,NO,,,,,,1.38,36.337,30.529,3,08-‹š”,10,25,5,125,Scaridae,Perciformes,SPAR,5,,Sparisoma.cretense,3,Sala - PEW
3184,ADR6CF,ADRASAN,ADR,6,6ADR,C,1010,ADR6CF,,Summer,NO,,,,,,1.34,36.337,30.529,3,08-‹š”,10,25,5,125,Labridae,Perciformes,CHROM,6,,Chromis.chromis,55,Sala - PEW
